,weight
WDAY,0.0
OKE,0.0
AIG,0.0
FAST,0.0013231301933152634
EA,0.0725373338415737
AMP,0.0
CTVA,0.0
DAL,0.0006174496411856243
BKR,0.0008277998339935779
AXON,0.0
TTWO,0.07764336834282962
TGT,0.0009759708860724842
DDOG,0.0
GWW,0.0009854640595564452
EXC,0.005011379436927573
NDAQ,0.007675884320442378
MET,0.0
XEL,0.004764863926127887
ROK,0.0007549591630907651
MPWR,0.0006448091672218925
MSCI,0.0
RSG,0.0
YUM,0.002033122290537581
CARR,0.0
ETR,0.004706204440449086
PSA,0.0
FICO,0.0
PEG,0.005468951296482166
CTSH,0.0011339170915367265
TRGP,0.0012534512411681437
PRU,0.001063439433882125
DHI,0.0006922768845775289
EBAY,0.0015070509989311071
CCI,0.0
A,0.0007136257148928827
HIG,0.004625964215672562
IQV,0.0007601317179829225
KR,0.0
KDP,0.0
DELL,0.0
VMC,0.0011237496087802379
MLM,0.0011251001413498714
GEHC,0.0007931084091096182
NUE,0.0009528470194136644
USD,0.0005225050385108442
WAB,0.00089776757491908
PAYX,0.0
VTR,0.006885841295517999
UAL,0.000584493439049785
FISV,0.0
STT,0.0008107197623351331
ED,0.004784800600993015
XYZ,0.0
PCG,0.0035632507256757933
SYY,0.004546924018670088
RMD,0.0
KEYS,0.0006628651257795041
CPRT,0.0
ACGL,0.005432584563334071
MCHP,0.000578580871436491
FIS,0.0
WEC,0.005135544028478103
OTIS,0.0
KMB,0.0
EQT,0.0
ARES,0.0
GRMN,0.0
CCL,0.0
EXPE,0.0006574947764650443
XYL,0.00126647969137793
KVUE,0.0
SNDK,0.0002608816856894047
FIX,0.0006745767904205395
HPE,0.0006731218487710882
WTW,0.0059362865466916544
VRSK,0.0
FITB,0.0008701775844666054
MTB,0.000983270624590516
HUM,0.0
NRG,0.0
TER,0.0005029594455983087
VICI,0.0
SYF,0.0007933002655396337
OXY,0.0010526840360324072
DG,0.0015535252557975832
ODFL,0.0006365730114148467
IBKR,0.000732284976106963
CSGP,0.0
IR,0.0
MTD,0.0007339185162799017
RJF,0.0010450074265982952
FSLR,0.0009865359312798243
FANG,0.0011567359291008478
EXR,0.0
ADM,0.0018906450073417024
EME,0.0008391263373551081
HBAN,0.0008603654862310539
ULTA,0.0013606144314748053
AEE,0.004603118509080299
HSY,0.005068894770026626
ATO,0.0049843822140494395
DTE,0.005207160962801003
DOV,0.0008909916771449353
EFX,0.0
TSCO,0.004885817357719316
EXE,0.002119479324148529
CBOE,0.008013358624335422
TPR,0.000772057537654603
BR,0.0
PPL,0.004638326076863062
DXCM,0.0
NTRS,0.001009102674303584
BIIB,0.001183214388768041
OMC,0.003617138552627915
EL,0.0006886333944849151
AVB,0.0
